user_id,total_sessions,total_page_clicks,avg_page_clicks_per_session,trip_session_count,trip_sessions_share,avg_clicks_trip_sessions,completed_flight_bookings,completed_hotel_bookings,completed_any_bookings,cancellation_count,flight_booking_rate,hotel_booking_rate,overall_booking_rate,cancellation_rate,hotel_attach_rate,return_flight_booking_rate,days_since_last_session,days_since_last_booking,active_span_days,customer_age_months,sessions_per_month,bookings_per_month,avg_base_fare_usd,avg_hotel_price_per_room_night_usd,avg_nights,avg_nights_fixed,unique_airlines_booked,avg_trip_distance_km,max_trip_distance_km,total_trip_distance_km,avg_trip_duration_days,max_trip_duration_days,unique_destinations_count,avg_departure_hour,weekend_trip_share,avg_checked_bags,avg_seats_booked,avg_rooms_booked,flight_discount_seen_rate,hotel_discount_seen_rate,flight_discount_booking_rate,hotel_discount_booking_rate,avg_flight_discount_amount,avg_hotel_discount_amount,avg_total_discount_amount,age_at_dataset_end,gender,married,has_children,home_country,home_city,home_airport
532544,8,286,35.75,2,0.25,108.5,1,1,1,1,0.125,0.125,0.125,0.125,1.0,1.0,20,61.0,174,6,1.24,0.16,884.85,173.0,11.0,12.0,1,5433.32,5433.32,5433.32,12.00,12.00,1,7.0,0.0,0.0,1.0,1.0,0.125,0.375,0.0,0.0,,0.13,0.03,24,F,False,False,usa,newark,EWR
583070,8,134,16.75,3,0.375,21.0,3,1,3,0,0.375,0.125,0.375,0.0,0.333,1.0,27,27.0,142,5,1.42,0.53,559.47,525.0,2.0,2.0,2,2413.5,3477.11,7240.51,5.00,9.00,3,10.67,0.0,0.67,1.33,1.0,0.0,0.25,,0.0,,0.1,0.03,25,F,False,True,usa,new york,LGA
514638,8,126,15.75,4,0.5,22.0,3,4,4,0,0.375,0.5,0.5,0.0,1.0,1.0,64,64.0,139,6,1.19,0.59,910.56,61.75,6.0,6.75,3,2698.61,3310.91,8095.83,6.33,13.00,3,11.33,0.333,1.0,2.0,2.0,0.25,0.0,1.0,,0.15,,0.04,39,F,True,True,usa,montgomery,MXF
477730,8,185,23.13,5,0.625,33.6,5,5,5,0,0.625,0.625,0.625,0.0,1.0,1.0,59,59.0,141,7,1.09,0.68,697.14,273.8,3.6,4.6,5,3164.25,3927.97,15821.25,5.40,7.00,4,11.6,0.6,0.0,1.2,1.2,0.0,0.125,,1.0,,0.15,0.02,44,F,False,False,usa,san diego,SAN
541259,8,166,20.75,5,0.625,24.2,4,3,5,0,0.5,0.375,0.625,0.0,0.5,0.75,19,110.0,171,6,1.27,0.79,456.32,156.67,3.67,4.33,4,2634.0,3618.41,10536.0,2.33,4.00,4,12.25,0.25,0.25,1.25,1.67,0.125,0.125,0.0,1.0,0.1,0.2,0.04,44,F,False,False,canada,edmonton,YXD
606635,8,154,19.25,2,0.25,29.5,2,2,2,0,0.25,0.25,0.25,0.0,1.0,0.5,65,123.0,94,5,1.5,0.38,433.03,211.0,4.5,5.5,2,3337.54,3355.98,6675.08,2.00,2.00,2,11.5,0.0,0.0,1.0,1.0,0.25,0.0,0.5,,0.13,,0.03,45,F,False,False,usa,reno,RNO
526789,8,125,15.63,4,0.5,20.5,3,2,4,0,0.375,0.25,0.5,0.0,0.333,1.0,57,57.0,140,6,1.22,0.61,354.72,148.0,3.0,3.5,3,1533.67,3237.61,4601.0,1.67,3.00,3,7.33,0.0,0.33,1.33,1.0,0.125,0.125,1.0,1.0,0.1,0.1,0.03,28,F,False,False,usa,baltimore,BWI
570746,8,108,13.5,3,0.375,16.33,2,2,3,0,0.25,0.25,0.375,0.0,0.5,1.0,97,97.0,78,5,1.37,0.51,416.96,291.5,8.0,8.0,2,2233.99,3885.0,4467.97,2.50,3.00,2,11.0,0.5,1.0,1.0,1.5,0.5,0.125,0.25,1.0,0.15,0.3,0.11,41,F,False,False,usa,new york,JFK
515874,9,113,12.56,1,0.111,35.0,0,1,1,0,0.0,0.111,0.111,0.0,,,37,195.0,165,6,1.34,0.15,,109.0,9.0,9.0,0,,,,,,0,,,,,2.0,0.111,0.111,0.0,0.0,0.05,0.1,0.02,67,F,True,False,usa,anchorage,ANC
546282,10,146,14.6,2,0.2,23.5,2,2,2,0,0.2,0.2,0.2,0.0,1.0,1.0,59,120.0,128,6,1.61,0.32,523.53,136.0,3.0,4.0,2,3023.17,3606.94,6046.34,4.50,5.00,2,10.5,1.0,0.0,1.0,1.0,0.1,0.2,0.0,0.0,0.15,0.13,0.04,44,F,False,False,canada,ottawa,YOW
